Course,Course GPA,Professor,Professor Average GPA
Programming III (400),3.34,S M JAGLUL HASAN,3.66
Programming III (400),3.34,SANGEETHA GRAMA SRINIVASAN,3.66
Programming III (400),3.34,SONGWONG TASNEEYAPANT,3.66
Programming III (400),3.34,MADAN RAJ HARI,3.66
Programming III (400),3.34,AKSHAY MISHRA,3.66
Programming III (400),3.34,SIDDHARTH MOHAN,3.61
Programming III (400),3.34,SAPAN GUPTA,3.61
Programming III (400),3.34,SRIVATSAN RAMESH,3.61
Programming III (400),3.34,SURYADEV SAHADEVAN RAJESH,3.61
Programming III (400),3.34,YANG GUO,3.61
Stochastic Programming (719),3.92,JAMES LUEDTKE,3.92
Stochastic Programming (719),3.92,RUI CHEN,3.73
Stochastic Programming (719),3.92,JEFFREY LINDEROTH,3.91
Stochastic Programming (719),3.92,ROBERT R MEYER,3.92
Web Programming (369),3.83,GAUTAM UMESH SARGUR,3.83
Web Programming (369),3.83,STEPHEN ANDERSON,3.83
